what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267636740
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389267639740
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389267648671
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1389267649502
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1389267649503
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1389267651892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267660539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267672008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267679462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267679477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267685380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267718766
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1389267720556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267777070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267796544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389267801006
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389267802860
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1389267806405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267808152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267820807
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1389267823740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389267831444
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389267839914
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1389267843050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267844507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267851014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267852480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267902880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267905960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267924250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267925808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267986298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389267986587
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1389267988314
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389267988314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267990416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267994306
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389267994528
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1389267995256
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1389267995256
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1389267995256
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1389267995266
